player_id,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
460648,2727,1998-07-22,Defender,400000.0,750000.0,2023-06-30,2022,1998,24,4,0,2,0,1941,1,0,2,0,836,1,0,2,0,946,1,19,101.07894736842107,0,0,0,110,0,5,13.7,1,165.35175438596494,4.552997208166814
581294,2282,2002-01-17,Attack,350000.0,800000.0,2026-06-30,2022,2002,20,2,1,3,0,202,0,0,0,0,11,0,1,3,0,202,0,12,23.233333333333334,1,3,0,191,0,11,22.086363636363636,1,56.95636363636364,1.568306097426619
90583,157,1988-12-07,Attack,500000.0,6500000.0,2024-06-30,2022,1988,34,10,66,13,0,16112,25,8,1,0,1445,3,14,3,0,3507,8,58,368.596551724138,6,2,0,2062,5,33,218.69848484848487,1,771.6521359641036,21.24761260482117
129586,172,1994-08-08,Defender,2200000.0,3500000.0,2023-06-30,2022,1994,28,7,7,14,0,11076,17,1,3,0,2438,3,2,7,0,5591,9,66,573.4212121212122,1,4,0,3153,6,36,327.30833333333334,1,1187.4901515151516,32.69780453586157
187460,49702,1993-02-14,Attack,500000.0,800000.0,2024-06-30,2022,1993,29,8,18,23,2,10218,16,1,3,0,1077,1,2,7,1,3422,8,56,356.0607142857143,1,4,1,1844,5,29,194.90862068965518,1,729.0548645320198,20.074687294013195
623557,3725,2001-08-18,Attack,200000.0,250000.0,2023-06-30,2022,2001,21,3,1,2,0,216,0,0,0,0,21,0,0,2,0,73,0,5,9.16,0,2,0,52,0,4,6.800000000000001,1,20.568571428571428,0.5663601734256187
686530,3719,2000-09-29,Attack,200000.0,200000.0,2024-06-30,2022,2000,22,2,3,2,0,865,0,3,2,0,682,0,3,2,0,865,0,28,93.1892857142857,0,0,0,183,0,6,21.950000000000003,1,161.7521103896104,4.4538802128457915
168471,3057,1991-12-05,Attack,900000.0,4500000.0,2024-06-30,2022,1991,31,10,50,17,0,10462,6,3,4,0,1335,0,4,5,0,1627,0,36,171.76944444444445,1,1,0,291,0,17,32.76176470588236,1,290.4804475015813,7.998443508586112
381968,3057,1999-05-12,Attack,2000000.0,2000000.0,2025-06-30,2022,1999,23,5,4,3,0,1729,5,2,2,0,1038,3,2,2,0,1050,3,16,114.4125,0,0,0,12,0,1,2.5000000000000004,1,174.16222826086954,4.795595559203555
381067,11127,2000-04-22,Attack,250000.0,300000.0,2024-06-30,2022,2000,22,2,0,0,0,385,0,0,0,0,18,0,0,0,0,385,0,13,42.76153846153846,0,0,0,306,0,8,35.225,1,99.3854895104895,2.7366014830258085
188338,41231,1994-07-09,Attack,400000.0,4000000.0,2023-06-30,2022,1994,28,9,24,17,0,6518,12,0,2,0,387,0,4,6,0,1303,2,33,138.94848484848487,4,4,0,805,2,19,88.13684210526317,1,296.62385509227613,8.167603598316846
281552,41231,1997-04-04,Attack,1000000.0,1500000.0,2024-06-30,2022,1997,25,8,17,30,0,6053,8,7,9,0,1466,3,8,11,0,1865,3,42,197.7404761904762,1,2,0,399,0,11,44.827272727272735,1,341.501987012987,9.403332908244764
49676,41231,1989-07-06,Attack,300000.0,1500000.0,2023-06-30,2022,1989,33,8,13,18,1,8647,19,1,4,0,1386,5,3,7,1,2868,11,51,300.72352941176473,2,3,1,1482,6,27,158.23888888888888,1,609.3726678550208,16.77921148027789
73783,41231,1988-12-25,Attack,600000.0,12000000.0,2023-06-30,2022,1988,34,9,35,11,1,13633,37,4,1,0,1217,3,8,1,0,1980,4,47,210.2627659574468,4,0,0,763,1,22,83.41818181818182,1,398.8652719308226,10.98284367335311
220650,3725,1992-05-20,Attack,800000.0,2200000.0,2024-06-30,2022,1992,30,6,35,26,0,10753,14,4,0,0,851,2,13,6,0,2937,3,58,308.9137931034483,8,6,0,1576,1,30,168.20333333333335,1,631.6140229885058,17.39163212380025
45858,41231,1985-04-09,Midfield,1500000.0,10000000.0,2024-06-30,2022,1985,37,9,53,30,2,17999,40,13,2,0,2127,4,24,8,1,4723,15,57,492.2859649122807,11,6,1,2596,11,31,274.42419354838717,1,1012.9017895654569,27.890475291081273
97541,41231,1989-09-01,Midfield,2000000.0,6000000.0,2023-06-30,2022,1989,33,9,27,59,0,15551,20,6,8,0,2237,1,15,11,0,4714,7,61,487.5778688524591,9,3,0,2477,6,31,261.19032258064516,1,992.6116713138792,27.331782387604896
178314,41231,1996-09-29,Midfield,2500000.0,4000000.0,2023-06-30,2022,1996,26,8,2,23,3,8595,5,1,1,0,1102,3,1,3,0,2270,3,45,236.99444444444444,0,2,0,1168,0,28,123.47142857142859,1,479.02463369963374,13.190049467432118
607814,41231,2002-06-14,Midfield,800000.0,800000.0,2026-06-30,2022,2002,20,2,1,7,0,1919,3,0,4,0,643,1,1,7,0,1919,3,45,200.51444444444445,0,1,0,241,0,16,27.056250000000006,1,327.8479166666666,9.027365054757103
